group	Bacteroidaceae	Ruminococcaceae	Bifidobacteriaceae	Enterobacteriaceae	Selenomonadaceae	Streptococcaceae	Pasteurellaceae	Peptostreptococcaceae	Veillonellaceae	Micrococcaceae	Burkholderiaceae	Streptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae
Healthy	24.94261	9.8181	2.0393	0.18994	0	0.4968	0.57161	0.1088	0.13564	0.00101	0.06486	0.4968	0.59158	0	0.00415	0	0.13564	0.57161	0	0.1088
Healthy	53.20443	3.42493	0.11984	0	0	0.05237	0	0	0	0	0.11834	0.05237	0.22282	0.87857	0.00808	0	0	0	0	0
Healthy	19.65803	9.96325	1.01272	1.84899	0	8.13615	0.25338	0.07247	0.2242	0.02079	0.20459	8.13615	1.02795	0	0.07986	0.05317	0.2242	0.25338	0.00811	0.07247
Healthy	11.22645	44.3123	0	0	0	0	0	0	0	0	0	0	0.90246	0	0	0	0	0	0	0
Healthy	54.59408	5.07443	0.12056	0.09832	0	0.03648	0	0	0	0	0.0657	0.03648	0.03568	0	0.03735	0	0	0	0	0
Healthy	19.53527	3.78617	0	0	0	0	0	0	0	0	1.07337	0	0.0603	0	0.06825	0	0	0	0	0
Healthy	12.59282	2.97653	6.98625	9.39904	0	0.01927	0	0.0581	0.22665	0.00982	0.08959	0.01927	0.58354	0	0.8809	0	0.22665	0	0	0.0581
Healthy	85.53744	0.80297	0	0.38656	0	0.20842	0	0	0.02526	0	0.11966	0.20842	0.13178	0	0.02311	0	0.02526	0	0	0
Healthy	44.79468	0	0	2.90482	0	0.07356	0	0	0	0	0.07877	0.07356	0	0	0	0.01034	0	0	0	0
Healthy	32.48011	6.18389	0.57014	0.09232	0	0.00636	0.0422	0	0.03051	0	1.39314	0.00636	0.15204	0	0.02486	0	0.03051	0.0422	0	0
Healthy	22.29547	6.07336	0.00488	5.3394	0	0.01463	0	0.00271	0.00921	0.00036	0.03034	0.01463	0.00031	0	0.36328	0.15251	0.00921	0	0.00096	0.00271
Healthy	50.05089	1.69158	1.06722	0	0	0	0.00402	0	0	0	0.70225	0	0.1128	0	0	0	0	0.00402	0	0
Healthy	11.45445	6.1481	1.57348	0.00681	0	0.09888	0.001	0.08429	0.01218	0	0.88008	0.09888	0.29588	22.5247	1.03495	0	0.01218	0.001	0.65963	0.08429
Healthy	53.10742	1.00071	0	0	0	1.60955	0	0.08412	0	0	0.08336	1.60955	0.03785	1.47114	5.33684	1.99083	0	0	0.04058	0.08412
Healthy	21.86425	14.56236	29.09458	1.88746	0	0	0	0	0	0	1.38138	0	1.00364	0	0	0	0	0	0	0
Healthy	74.44349	3.19307	0	0	0.39408	0	0	0	0	0	0	0	0	0	0.43276	0	0	0	0	0
Healthy	57.19175	7.34323	1.11818	1.43986	0	0.40837	0.02287	0.00613	0	0	0.56976	0.40837	0.38453	0	0.07146	0	0	0.02287	0	0.00613
Healthy	45.86257	0	0	2.74832	0	0.09803	0	0	0	0	0.06262	0.09803	0	0	0	0.00254	0	0	0	0
Healthy	38.96143	0.89433	0.05685	0	0	0.6513	0.3539	0.04315	0.08778	0	0	0.6513	0	0	0	0	0.08778	0.3539	0.10779	0.04315
Healthy	20.94759	5.39454	0.50648	0.07617	0	0.03125	0.17004	0.03226	0.01651	0	1.2693	0.03125	0.27859	0.26395	0.1551	0	0.01651	0.17004	0	0.03226
Healthy	54.4671	3.87322	0.11493	0	0	0	0	0	0	0	0.0624	0	0.14886	0	0	0.56566	0	0	0	0
Healthy	53.70168	5.245	0.09615	0.04198	0	0.02956	0	0	0	0	0.07281	0.02956	0.05215	0	0.0243	0	0	0	0	0
D013167	56.87365	6.3838	0.21557	0.03587	0.14835	0.02578	0.08715	0	0.06641	0.09437	0.04211	0.02578	0.09648	0	0.05218	0	0.06641	0.08715	0	0
