group	Phocaeicola	Enterocloster	Dialister	Veillonella	Ruminococcus_B	Faecalimonas	Clostridium_Q	Flavonifractor	Muricomes	Longicatena	Alistipes	Ruminococcus_H	Lachnospira	Barnesiella	Coprococcus	Methanobrevibacter_A	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	7.89544	0.02275	10.166	0.89971	0.27628	0	0	0.00677	0	0	0	0	0	0	0	0	0.00677	0	0	0
Healthy	3.70673	0.44734	0.21393	0.00247	0.00977	0.00102	0.00971	0.00013	0	0.00029	0.02801	0	13.9746	0	0	0	0.00013	0	0	0
Healthy	2.16641	0.25967	0	0.01516	0.02066	0	0	0.01155	0.0216	0.03372	6.33589	0	0.08444	2.89475	2.08631	0	0.01155	0.41728	0.15931	0.20868
Healthy	11.73842	0.0491	0	0	0	0	0	0.00971	0	0	25.13414	2.00529	0.13279	0	0	0	0.00971	0.02694	0.00937	0
Healthy	1.60614	2.00065	0	0.13564	0	0	0	0.00501	0	0.00275	1.43234	0.00421	0.56648	0.52702	0.43243	0	0.00501	0.00668	0.39206	0
Healthy	3.2492	0.05866	0	0	0	0	0	1.28496	0	0	10.10083	0	0.75463	0.79806	0	0	1.28496	0.02943	0.00195	0
Healthy	3.57537	2.04222	0	0.2242	0.27636	0.06483	0	0.01016	0.01164	0.00088	2.82154	10.9777	5.15313	0.83378	0	0.77623	0.01016	0.00079	0.21618	0.01142
Healthy	5.56274	0	0	0	0	0	0	0	0	0	6.86182	3.49728	0	0	0	0	0	0	0	0.89561
Healthy	32.0562	0.4271	0	0	0.08189	0	0.03226	0.17711	0	0	17.3234	0	0	2.03364	0	0	0.17711	0	0	0
Healthy	4.85584	0	0	0	0	0	0	0.16664	0	0	32.21796	0.35928	0.55978	2.7135	2.16535	0	0.16664	0.26179	0	0.06162
Healthy	1.31163	1.15285	0	0.00044	0.00957	0.01255	0.02058	0.02287	0.04988	0.02312	19.83227	3.5316	0.52755	4.25885	1.70906	0.07517	0.02287	0.11803	0.12609	0.02265
Healthy	9.26215	0.12766	3.56415	0.02526	0.00801	0	0.44575	0.13158	0	0	0	0	0	0	0	0	0.13158	0	0	0
Healthy	1.00804	8.90162	0	0	0.02072	0.05621	1.11267	0.45575	0	0	0	0	0	0	0	0	0.45575	0	0	0
Healthy	8.42266	0	0.35415	0.03051	0	0	0	0.16672	0	0	13.62675	0.63795	3.29176	5.56533	0	0.17643	0.16672	0.02118	0	0.03016
Healthy	2.41942	0.70583	2.02896	0.00921	0.00157	0.89341	0.02463	0.02925	0.10218	0.08912	6.54158	2.58533	0.03934	8.0343	0	3.08044	0.02925	0	0	0.04885
Healthy	11.22023	0.05462	0	0	0	0	0	0.00901	0	0	23.59823	1.97063	0.13869	0	0	0	0.00901	0.02461	0	0
Healthy	2.76604	0.87992	0	0.01218	0	0	0	0.05635	0	0.00529	1.31923	0	0.42926	7.4203	1.56525	0	0.05635	0.89575	0.33369	0
Healthy	14.87937	0.72787	0	0	0.037	0	0	0.00715	0	0	0.37341	0.66444	2.17445	0.11893	0.21306	1.58479	0.00715	0.04706	0.11822	0
Healthy	10.33921	0.04296	0	0	0	0	0	0	0	0	2.76763	3.92368	1.02259	0.59791	0	0.42914	0	0	0.16628	0
Healthy	7.48809	0.10527	0	0	0	0	0	0	0	0	1.39526	0	4.63416	0	0	0	0	0	0	0
Healthy	23.74448	0.17693	0	0	0	0	0	0	0	0	4.61983	0	4.59816	1.35529	5.74905	0	0	0	0.35481	0.03878
Healthy	3.70937	8.3973	0	0	0.02249	0.05726	1.42773	0.38809	0	0	0	0	0	0	0	0	0.38809	0	0	0
